quote_date,240020_Nav,519069_Nav,460005_Nav,161005_Nav,166005_Nav,163412_Nav,002001_Nav
2012-10-09,1.1340,1.5440,1.4448,3.0340,0.9790,0.9720,3.3520
2012-10-08,1.1090,1.5210,1.4293,3.0011,0.9580,0.9520,3.3380
2012-09-30,1.1080,1.5260,1.4362,3.0157,0.9640,0.9500,3.3430
2012-09-28,1.1080,1.5260,1.4363,3.0158,0.9640,0.9500,3.3430
2012-09-27,1.0940,1.5110,1.4270,2.9919,0.9490,0.9370,3.3310
2012-09-26,1.0780,1.4920,1.4163,2.9673,0.9280,0.9200,3.3160
2012-09-25,1.0900,1.5080,1.4254,2.9867,0.9410,0.9340,3.3230
2012-09-24,1.0920,1.5070,1.4236,2.9904,0.9420,0.9370,3.3240
2012-09-21,1.0870,1.5020,1.4229,2.9772,0.9360,0.9340,3.3190
2012-09-20,1.0960,1.5050,1.4260,2.9725,0.9380,0.9420,3.3190
2012-09-19,1.1190,1.5200,1.4375,2.9937,0.9570,0.9560,3.3300
2012-09-18,1.1100,1.5190,1.4384,2.9860,0.9550,0.9540,3.3290
2012-09-17,1.1090,1.5230,1.4437,2.9954,0.9600,0.9520,3.3290
2012-09-14,1.1260,1.5440,1.4557,3.0291,0.9790,0.9680,3.3440
2012-09-13,1.1280,1.5490,1.4549,3.0263,0.9770,0.9770,3.3460
2012-09-12,1.1390,1.5550,1.4592,3.0391,0.9870,0.9840,3.3520
2012-09-11,1.1350,1.5510,1.4597,3.0355,0.9820,0.9830,3.3500
2012-09-10,1.1260,1.5530,1.4637,3.0414,0.9870,0.9890,3.3540
2012-09-07,1.1260,1.5510,1.4654,3.0333,0.9820,0.9880,3.3540
2012-09-06,1.1040,1.5260,1.4487,2.9911,0.9500,0.9670,3.3350
2012-09-05,1.1020,1.5190,1.4468,2.9913,0.9430,0.9630,3.3330
2012-09-04,1.0990,1.5140,1.4459,2.9846,0.9440,0.9570,3.3280
2012-09-03,1.1030,1.5180,1.4478,2.9890,0.9530,0.9580,3.3310
2012-08-31,1.0800,1.4980,1.4392,2.9705,0.9350,0.9390,3.3200
2012-08-30,1.0750,1.4940,1.4418,2.9697,0.9330,0.9390,3.3190
2012-08-29,1.1020,1.5080,1.4484,2.9779,0.9430,0.9610,3.3260
2012-08-28,1.0990,1.5110,1.4532,2.9828,0.9480,0.9560,3.3280
2012-08-27,1.1000,1.5090,1.4514,2.9886,0.9460,0.9580,3.3320
2012-08-24,1.1150,1.5230,1.4646,3.0022,0.9600,0.9700,3.3400
2012-08-23,1.1250,1.5380,1.4694,3.0126,0.9720,0.9780,3.3440
2012-08-22,1.1280,1.5390,1.4696,3.0162,0.9720,0.9820,3.3420
2012-08-21,1.1370,1.5460,1.4747,3.0313,0.9770,0.9840,3.3490
2012-08-20,1.1130,1.5350,1.4660,3.0158,0.9680,0.9740,3.3400
2012-08-17,1.1040,1.5360,1.4645,3.0157,0.9670,0.9710,3.3400
2012-08-16,1.1150,1.5420,1.4695,3.0185,0.9700,0.9770,3.3440
2012-08-15,1.1300,1.5470,1.4742,3.0252,0.9780,0.9900,3.3480
2012-08-14,1.1380,1.5570,1.4803,3.0328,0.9870,0.9900,3.3510
2012-08-13,1.1420,1.5570,1.4829,3.0260,0.9820,0.9970,3.3510
2012-08-10,1.1460,1.5700,1.4977,3.0446,0.9970,1.0050,3.3630
2012-08-09,1.1410,1.5730,1.5028,3.0522,1.0020,1.0080,3.3650
2012-08-08,1.1140,1.5560,1.4914,3.0363,0.9880,0.9890,3.3530
2012-08-07,1.1280,1.5600,1.4921,3.0362,0.9900,0.9950,3.3550
2012-08-06,1.1290,1.5570,1.4927,3.0320,0.9860,0.9890,3.3530
2012-08-03,1.1140,1.5400,1.4837,3.0140,0.9700,0.9770,3.3430
2012-08-02,1.0880,1.5240,1.4760,3.0049,0.9570,0.9680,3.3380
2012-08-01,1.0640,1.5300,1.4786,3.0261,0.9610,0.9690,3.3480
2012-07-31,1.0480,1.5200,1.4709,3.0145,0.9490,0.9640,3.3410
2012-07-30,1.0500,1.5200,1.4733,3.0224,0.9550,0.9680,3.3420
2012-07-27,1.0570,1.5290,1.4835,3.0314,0.9620,0.9740,3.3450
2012-07-26,1.0800,1.5310,1.4911,3.0294,0.9600,0.9820,3.3470
2012-07-25,1.0910,1.5390,1.4994,3.0410,0.9630,0.9810,3.3530
2012-07-24,1.0870,1.5420,1.4988,3.0452,0.9660,0.9790,3.3560
2012-07-23,1.0860,1.5330,1.4933,3.0298,0.9620,0.9730,3.3520
2012-07-20,1.0860,1.5400,1.5021,3.0373,0.9700,0.9820,3.3560
2012-07-19,1.0760,1.5460,1.5110,3.0471,0.9770,0.9820,3.3600
2012-07-18,1.0690,1.5430,1.5045,3.0417,0.9730,0.9810,3.3610
2012-07-17,1.0760,1.5530,1.5045,3.0452,0.9700,0.9890,3.3660
2012-07-16,1.0860,1.5540,1.5055,3.0482,0.9660,0.9890,3.3640
2012-07-13,1.1100,1.5790,1.5278,3.0859,0.9830,0.9980,3.3850
2012-07-12,1.1020,1.5760,1.5265,3.0870,0.9850,0.9980,3.3850
2012-07-11,1.0960,1.5680,1.5156,3.0697,0.9730,0.9920,3.3740
2012-07-10,1.0690,1.5610,1.5080,3.0578,0.9640,0.9910,3.3730
2012-07-09,1.0910,1.5680,1.5132,3.0767,0.9710,1.0000,3.3790
2012-07-06,1.1010,1.5680,1.5251,3.1008,0.9860,1.0040,3.3820
2012-07-05,1.0720,1.5520,1.5032,3.0778,0.9690,0.9940,3.3660
2012-07-04,1.0730,1.5620,1.5173,3.0948,0.9800,0.9970,3.3680
2012-07-03,1.0920,1.5660,1.5192,3.0961,0.9850,1.0050,3.3710
2012-07-02,1.1000,1.5560,1.5197,3.0830,0.9790,1.0040,3.3680
2012-06-30,1.0760,1.5450,1.5111,3.0710,0.9690,0.9930,3.3650
2012-06-29,1.0760,1.5450,1.5112,3.0710,0.9690,0.9930,3.3650
2012-06-28,1.0610,1.5310,1.4958,3.0541,0.9550,0.9860,3.3610
2012-06-27,1.0570,1.5400,1.5012,3.0713,0.9620,0.9870,3.3640
2012-06-26,1.0440,1.5320,1.5007,3.0713,0.9570,0.9810,3.3600
2012-06-25,1.0440,1.5300,1.4995,3.0691,0.9590,0.9850,3.3590
2012-06-21,1.0450,1.5470,1.5192,3.0945,0.9700,0.9910,3.3710
2012-06-20,1.0480,1.5530,1.5328,3.1039,0.9780,0.9980,3.3750
2012-06-19,1.0670,1.5520,1.5424,3.1113,0.9800,1.0030,3.3790
2012-06-18,1.0680,1.5570,1.5520,3.1244,0.9860,1.0090,3.3820
2012-06-15,1.0620,1.5480,1.5485,3.1101,0.9790,1.0020,3.3790
2012-06-14,1.0570,1.5500,1.5592,3.1186,0.9790,1.0060,3.3920
2012-06-13,1.0630,1.5550,1.5593,3.1214,0.9800,1.0100,3.3910
2012-06-12,1.0380,1.5390,1.5364,3.0923,0.9660,1.0030,3.3770
2012-06-11,1.0310,1.5400,1.5407,3.0919,0.9670,1.0000,3.3770
2012-06-08,1.0120,1.5220,1.5255,3.0735,0.9560,0.9930,3.3670
2012-06-07,1.0110,1.5290,1.5255,3.0812,0.9610,0.9910,3.3670
2012-06-06,1.0180,1.5300,1.5276,3.0809,0.9630,0.9920,3.3680
2012-06-05,1.0220,1.5320,1.5327,3.0878,0.9630,0.9920,3.3690
2012-06-04,1.0060,1.5310,1.5326,3.0876,0.9630,0.9920,3.3660
2012-06-01,1.0170,1.5510,1.5570,3.1139,0.9790,0.9970,3.3770
